"";"Id";"LastInvoiceDate";"EnergyCutOffDate";"AgreementCutOffDate";"EnergyInvoicesDue";"AgreementInvoicesDue";"PSVAInvoicesDue";"TotalDebt";"TotalOverdueDebt";"TotalInvoicesDue";"CustomerRating";"PaymentProbability";"FirstProbabilityAction";"SecondProbabilityAction"
"2870";"0035B00000BGTFgQAP";"2013-12-30";"2017-11-30";"";1;0;0;27630;27630;1;1;0,837381496902933;"No Hacer Nada";"No Hacer Nada"
"18280";"0035B000004dfmHQAQ";"2010-10-02";"";"";1;0;0;8296;8296;1;1;0,837359829397371;"No Hacer Nada";"No Hacer Nada"
"12136";"0035B000004dfjpQAA";"2010-05-11";"2017-12-19";"";1;0;0;302836;302836;1;1;0,837356101644989;"SMS";"No Hacer Nada"
"3051";"0035B00000BG9VLQA1";"2012-01-16";"2017-11-30";"";1;0;0;877930;877930;1;1;0,83732355850334;"Email";"SMS"
"14041";"0035B00000CTnhiQAD";"2017-10-10";"2017-11-24";"2017-11-15";2;1;0;247560;121854;2;1;0,837285503067876;"No Hacer Nada";"No Hacer Nada"
"5205";"0035B00000CU2YIQA1";"";"";"";1;0;0;76326;76326;1;1;0,837231143217534;"Email";"SMS"
"24008";"0035B00000BFzkmQAD";"2017-04-26";"2017-11-30";"2017-11-17";1;0;0;83523;83523;1;1;0,837230840223087;"No Hacer Nada";"No Hacer Nada"
"9022";"0035B00000CTuzhQAD";"2013-01-24";"";"";1;0;0;9789;9789;1;1;0,837194104172505;"No Hacer Nada";"No Hacer Nada"
"16966";"0035B00000CIYHPQA5";"2017-11-06";"";"";1;0;0;259937;45422;1;1;0,837182413838522;"No Hacer Nada";"No Hacer Nada"
"15788";"0035B00000AUs3dQAD";"2010-08-24";"2017-11-28";"";1;0;0;110561;110561;1;1;0,837171328749293;"No Hacer Nada";"No Hacer Nada"
"6065";"0035B00000CThJ2QAL";"2017-10-11";"";"2017-11-10";1;1;0;117865;51127;1;1;0,837168824396251;"Email";"SMS"
"10884";"0035B00000CU6jJQAT";"2015-01-04";"";"";1;0;0;12327;12327;1;1;0,837140122969128;"No Hacer Nada";"No Hacer Nada"
"448";"0035B00000BBN4mQAH";"";"2017-11-30";"";1;0;0;57035;57035;1;1;0,837110401042099;"No Hacer Nada";"No Hacer Nada"
"20952";"0035B00000CU81UQAT";"";"";"";1;0;0;14413;14413;1;1;0,837044463331754;"No Hacer Nada";"No Hacer Nada"
"21286";"0035B00000BFy6tQAD";"2012-01-17";"2017-11-30";"";1;0;0;44251;44251;1;1;0,837040583143264;"No Hacer Nada";"No Hacer Nada"
"16948";"0035B00000CIp44QAD";"2016-02-16";"2017-12-12";"";1;0;0;35726;35726;1;1;0,8370389013147;"No Hacer Nada";"No Hacer Nada"
"10511";"0035B00000CTncuQAD";"2011-12-16";"";"";1;0;0;48618;48618;1;1;0,837028633576075;"No Hacer Nada";"No Hacer Nada"
"25387";"0035B00000CTxbaQAD";"2011-03-31";"2017-12-17";"";1;0;0;8800;8800;1;1;0,836980529756076;"No Hacer Nada";"No Hacer Nada"
"6435";"0035B00000CLGroQAH";"2013-11-07";"";"";1;0;0;19828;19828;1;1;0,836972456192644;"No Hacer Nada";"No Hacer Nada"
"790";"0035B00000BBMK7QAP";"";"2017-11-30";"";1;0;0;58275;58275;1;1;0,836923509480762;"No Hacer Nada";"No Hacer Nada"
"13570";"0035B00000CQCJaQAP";"2017-10-31";"";"";1;0;0;206399;37563;1;1;0,836893647949568;"No Hacer Nada";"No Hacer Nada"
"1380";"0035B00000BAuPhQAL";"2012-02-17";"2017-11-30";"";1;0;0;131459;131459;1;1;0,836885561494084;"Email";"SMS"
"12845";"0035B000007kZqrQAE";"2007-11-09";"";"";1;0;0;35894;35894;1;1;0,836860877104778;"No Hacer Nada";"No Hacer Nada"
"18609";"0035B00000CL8m9QAD";"2010-11-29";"2017-12-14";"";1;0;0;20264;20264;1;1;0,836841097674388;"No Hacer Nada";"No Hacer Nada"
"18141";"0035B00000CYLL3QAP";"";"";"";1;0;0;5298;5298;1;1;0,836823428530439;"No Hacer Nada";"No Hacer Nada"
"15428";"0035B00000CLF0cQAH";"2014-10-15";"";"";1;0;0;8720;8720;1;1;0,836808860643086;"No Hacer Nada";"No Hacer Nada"
"18787";"0035B00000CLDF6QAP";"";"";"";1;0;0;11832;11832;1;1;0,836789925737958;"No Hacer Nada";"No Hacer Nada"
"3979";"0035B00000CIm1RQAT";"";"";"";1;0;0;10804;10804;1;1;0,836775969468979;"No Hacer Nada";"No Hacer Nada"
"23716";"0035B00000CQBryQAH";"";"2017-11-16";"";2;0;0;174113;174113;2;1;0,836774911087094;"IVR";"Email"
"986";"0035B00000CYKzHQAX";"";"";"";1;0;0;35389;35389;1;1;0,836748387151402;"No Hacer Nada";"No Hacer Nada"
"22700";"0035B00000BBMXsQAP";"2009-11-16";"2017-11-30";"";1;0;0;52757;52757;1;1;0,836741827176392;"No Hacer Nada";"No Hacer Nada"
"13077";"0035B00000CQNCxQAP";"";"2017-11-16";"";2;0;0;37985;37985;2;1;0,836735517560928;"No Hacer Nada";"No Hacer Nada"
"19529";"0035B00000CL49yQAD";"";"";"";1;0;0;16783;16783;1;1;0,836729727744883;"No Hacer Nada";"No Hacer Nada"
"3817";"0035B00000BBONsQAP";"2015-03-18";"2017-11-30";"";1;0;0;41295;41295;1;1;0,836726238355688;"No Hacer Nada";"No Hacer Nada"
"9354";"0035B00000CYSi7QAH";"2010-01-08";"";"";1;0;0;12272;12272;1;1;0,836718452891992;"No Hacer Nada";"No Hacer Nada"
"10903";"0035B00000BBLcmQAH";"";"2017-11-30";"";1;0;0;28484;28484;1;1;0,836716698125938;"No Hacer Nada";"No Hacer Nada"
"17877";"0035B000007kVFBQA2";"2014-02-18";"2017-12-11";"";1;0;0;26858;26858;1;1;0,836700235922269;"No Hacer Nada";"No Hacer Nada"
"20275";"0035B00000BBLEIQA5";"2013-07-22";"2017-11-30";"";1;0;0;69469;69469;1;1;0,836693783196183;"No Hacer Nada";"No Hacer Nada"
"25913";"0035B00000CQPSkQAP";"2009-04-01";"2017-11-16";"";2;0;0;38565;38565;2;1;0,836661119492897;"No Hacer Nada";"No Hacer Nada"
"22240";"0035B00000CLHq4QAH";"";"";"";1;0;0;16946;16946;1;1;0,836660743927494;"No Hacer Nada";"No Hacer Nada"
"2240";"0035B00000BFwqbQAD";"";"2017-11-30";"";1;0;0;39257;39257;1;1;0,836608499226411;"No Hacer Nada";"No Hacer Nada"
"2287";"0035B00000BGW9sQAH";"";"2017-11-30";"";1;0;0;84734;84734;1;1;0,836596577013071;"No Hacer Nada";"No Hacer Nada"
"14331";"0035B00000BqTtGQAV";"2016-03-15";"2017-11-13";"";2;0;0;83176;83176;2;1;0,836548323313573;"No Hacer Nada";"No Hacer Nada"
"13089";"0035B000007kZnoQAE";"";"";"";1;0;0;14413;14413;1;1;0,836537523692063;"No Hacer Nada";"No Hacer Nada"
"105";"0035B00000CQEcqQAH";"";"";"";1;0;0;33478;33478;1;1;0,836535778808963;"No Hacer Nada";"No Hacer Nada"
"18665";"0035B00000CToW4QAL";"";"2017-11-16";"";2;0;0;25251;25251;2;1;0,836533608000403;"No Hacer Nada";"No Hacer Nada"
"21519";"0035B00000CTvv7QAD";"2015-04-11";"2017-11-16";"";2;0;0;32452;32452;2;1;0,836515419810594;"No Hacer Nada";"No Hacer Nada"
"7747";"0035B00000CTnuPQAT";"";"";"";1;0;0;14171;14171;1;1;0,836499651892439;"No Hacer Nada";"No Hacer Nada"
"1646";"0035B00000AUlS4QAL";"2017-10-25";"2017-12-09";"2017-11-25";1;0;0;196732;123281;1;1;0,836488069426155;"Email";"SMS"
"12916";"0035B00000CTsYIQA1";"";"";"";1;0;0;26246;26246;1;1;0,836485440297755;"No Hacer Nada";"No Hacer Nada"
"5686";"0035B00000CfDkJQAV";"2017-10-16";"2017-11-30";"2017-11-16";1;0;0;70293;59607;1;1;0,836454091525805;"No Hacer Nada";"No Hacer Nada"
"17825";"0035B00000CLGVeQAP";"2016-02-06";"2017-12-14";"";1;0;0;14266;14266;1;1;0,836435352545745;"No Hacer Nada";"No Hacer Nada"
"12181";"0035B00000CYMFLQA5";"2015-02-04";"";"";1;0;0;26421;26421;1;1;0,836427838022706;"No Hacer Nada";"No Hacer Nada"
"21191";"0035B00000BAvasQAD";"";"2017-10-30";"";2;0;0;95775;95775;2;1;0,836403239845519;"No Hacer Nada";"No Hacer Nada"
"17411";"0035B00000CU4JXQA1";"";"";"";1;0;0;13833;13833;1;1;0,836400111050637;"No Hacer Nada";"No Hacer Nada"
"5669";"0035B00000BG1lMQAT";"2017-10-21";"2017-12-04";"2017-11-20";1;0;0;63816;47330;1;1;0,836370033673517;"No Hacer Nada";"No Hacer Nada"
"3632";"0035B00000BAvMqQAL";"2012-11-19";"2017-11-30";"";1;0;0;114330;114330;1;1;0,836340665041855;"No Hacer Nada";"No Hacer Nada"
"19365";"0035B00000BAxr2QAD";"";"2017-11-30";"";1;0;0;38819;38819;1;1;0,836318298208595;"No Hacer Nada";"No Hacer Nada"
"11802";"0035B00000CQLFOQA5";"2015-03-03";"";"";1;0;0;14209;14209;1;1;0,836309212043912;"No Hacer Nada";"No Hacer Nada"
"2746";"0035B00000BBLenQAH";"2010-07-15";"2017-11-30";"";1;0;0;37978;37978;1;1;0,836274346847951;"No Hacer Nada";"No Hacer Nada"
"10412";"0035B00000BqUSgQAN";"";"2017-12-07";"";1;0;0;38452;38452;1;1;0,836268760857548;"No Hacer Nada";"No Hacer Nada"
"2443";"0035B00000BFzelQAD";"2014-07-01";"2017-11-30";"";1;0;0;80385;80385;1;1;0,836244710288287;"No Hacer Nada";"No Hacer Nada"
"16936";"0035B00000BG6lfQAD";"2010-04-20";"2017-11-30";"";1;0;0;13622;13622;1;1;0,836222365553892;"No Hacer Nada";"No Hacer Nada"
"22910";"0035B00000BAzdiQAD";"2017-03-02";"2017-11-30";"";1;0;0;153025;153025;1;1;0,836217624602684;"SMS";"No Hacer Nada"
"15091";"0035B00000CU36CQAT";"2017-10-30";"2017-11-24";"";2;0;0;351950;190050;2;1;0,836207204990187;"IVR";"Email"
"10267";"0035B00000CTlG1QAL";"2007-10-06";"";"";1;0;0;10874;10874;1;1;0,836207104994521;"No Hacer Nada";"No Hacer Nada"
"18865";"0035B00000AUqb6QAD";"2013-06-11";"2017-11-28";"";1;0;0;42609;42609;1;1;0,836201138694716;"No Hacer Nada";"No Hacer Nada"
"16180";"0035B00000CTfxJQAT";"2017-10-25";"";"";1;0;0;253921;88518;1;1;0,836178075233548;"Email";"SMS"
"16481";"0035B00000BFzDMQA1";"2017-10-30";"2017-12-12";"2017-11-28";1;0;0;330476;153324;1;1;0,836168006962238;"SMS";"No Hacer Nada"
"14981";"0035B00000AUqqEQAT";"";"2017-11-28";"";1;0;0;26405;26405;1;1;0,836154792371633;"No Hacer Nada";"No Hacer Nada"
"3575";"0035B00000CYOpnQAH";"";"";"";1;0;0;23848;23848;1;1;0,836142803594709;"No Hacer Nada";"No Hacer Nada"
"15789";"0035B00000AUl51QAD";"";"2017-11-28";"";1;0;0;35418;35418;1;1;0,836109273904968;"No Hacer Nada";"No Hacer Nada"
"22027";"0035B000007kXWWQA2";"";"";"";1;0;0;19724;19724;1;1;0,836104580527023;"No Hacer Nada";"No Hacer Nada"
"13162";"0035B00000CIOeVQAX";"";"2017-11-16";"";2;0;0;1733687;1733687;2;1;0,836097241694972;"Email";"No Hacer Nada"
"21479";"0035B00000BG0p9QAD";"";"2017-11-30";"";1;0;0;39102;39102;1;1;0,836090637602103;"No Hacer Nada";"No Hacer Nada"
"6192";"0035B00000BFwCcQAL";"2017-04-11";"2017-11-30";"";1;0;0;63834;63834;1;1;0,836090410115289;"No Hacer Nada";"No Hacer Nada"
"12872";"0035B00000AUq4cQAD";"2011-10-20";"2017-11-28";"";1;0;0;23051;23051;1;1;0,836070009021214;"No Hacer Nada";"No Hacer Nada"
"17687";"0035B00000CU5OKQA1";"";"2017-11-17";"";2;0;0;32705;32705;2;1;0,836066759252894;"No Hacer Nada";"No Hacer Nada"
"14793";"0035B00000CTwXEQA1";"";"";"";1;0;0;17718;17718;1;1;0,836058038970911;"No Hacer Nada";"No Hacer Nada"
"13548";"0035B00000CQEm3QAH";"2010-02-19";"2017-11-20";"";2;0;0;68377;68377;2;1;0,836054864690124;"No Hacer Nada";"No Hacer Nada"
"10973";"0035B00000CLE8AQAX";"2017-09-25";"2017-11-09";"2017-10-30";2;1;0;72181;44345;2;1;0,836041226692199;"No Hacer Nada";"No Hacer Nada"
"10052";"0035B00000CYTMFQA5";"";"";"";1;0;0;18279;18279;1;1;0,836039610889149;"No Hacer Nada";"No Hacer Nada"
"15962";"0035B00000BrfHpQAJ";"";"2017-12-14";"";1;0;0;75250;75250;1;1;0,836014137176784;"No Hacer Nada";"No Hacer Nada"
"6370";"0035B00000CLDEgQAP";"2010-10-04";"2017-12-14";"";1;0;0;69876;69876;1;1;0,836010457573225;"No Hacer Nada";"No Hacer Nada"
"10143";"0035B00000CTsFbQAL";"";"2017-11-16";"";2;0;0;143487;143487;2;1;0,83600417411823;"IVR";"SMS"
"16145";"0035B00000CTlqWQAT";"";"";"";1;0;0;9584;9584;1;1;0,836004136329134;"No Hacer Nada";"No Hacer Nada"
"10548";"0035B000007ka5lQAA";"";"2017-11-14";"";2;0;0;53652;53652;2;1;0,835997734524897;"No Hacer Nada";"No Hacer Nada"
"9963";"0035B00000CYT7ZQAX";"2007-10-11";"";"";1;0;0;16358;16358;1;1;0,835995992551958;"No Hacer Nada";"No Hacer Nada"
"7866";"0035B00000CTs3vQAD";"2012-07-04";"2017-12-17";"";1;0;0;26485;26485;1;1;0,835982410292569;"No Hacer Nada";"No Hacer Nada"
"23013";"0035B00000BBSXlQAP";"2017-07-17";"2017-11-30";"";1;0;0;72963;72963;1;1;0,835980823023333;"No Hacer Nada";"No Hacer Nada"
"10462";"0035B00000CLGeRQAX";"2016-07-05";"2017-12-14";"";1;0;0;11286;11286;1;1;0,835975856656286;"No Hacer Nada";"No Hacer Nada"
"24434";"0035B00000BG5TcQAL";"2012-10-18";"2017-11-30";"";1;0;0;166644;166644;1;1;0,83595392339107;"No Hacer Nada";"No Hacer Nada"
